product_id,product_name,price,category,brand,stock_quantity,release_date
1,Honorable,216.47,beauty,Katz,114,6/29/2018
2,Mrs,171.48,home decor,Bubblebox,969,1/3/2019
3,Mr,640.36,electronics,Vinder,351,1/2/2010
4,Ms,206.82,beauty,Leexo,768,7/4/2021
5,Rev,129.29,home decor,Talane,131,1/23/2018
6,Mrs,503.21,clothing,Fivespan,769,7/13/2021
7,Mr,737.11,clothing,Thoughtbridge,316,10/5/2012
8,Dr,30.75,beauty,Rhybox,215,11/15/2013
9,Mr,181.77,beauty,Katz,77,5/31/2022
10,Dr,848.81,toys,Topicware,236,11/20/2015
11,Dr,526.11,toys,Brightdog,59,11/30/2014
12,Rev,827.41,toys,Livepath,388,2/21/2012
13,Rev,437.7,home decor,DabZ,427,12/12/2022
14,Honorable,750.77,electronics,Jatri,155,12/1/2013
15,Mr,473.75,home decor,Blogtag,888,3/1/2011
16,Rev,759.89,clothing,Mydeo,500,2/7/2018
17,Ms,220.54,toys,Kwideo,221,2/21/2014
18,Ms,818.38,beauty,Youfeed,468,6/11/2013
19,Ms,758.9,toys,Meedoo,354,11/8/2015
20,Mrs,380.97,toys,Tagcat,416,2/16/2022
21,Dr,234.55,home decor,Realcube,465,11/5/2016
22,Rev,669.26,toys,Youopia,718,8/28/2010
23,Honorable,455.9,electronics,Wikibox,949,9/10/2013
24,Mr,972.89,toys,Leenti,490,2/23/2022
25,Mr,200.84,electronics,Babbleblab,996,5/30/2019
26,Honorable,340.48,toys,Kazio,797,2/11/2013
27,Mr,644.24,toys,Browsetype,726,8/8/2014
28,Dr,105.41,electronics,Eire,712,5/18/2010
29,Mr,387.7,clothing,Einti,177,6/7/2013
30,Mr,567.78,beauty,Midel,416,2/10/2016
31,Mr,576.52,electronics,Tazz,309,11/21/2022
32,Rev,802.13,toys,Tazz,255,4/29/2016
33,Rev,320.41,home decor,Reallinks,284,3/29/2012
34,Mrs,146.93,electronics,Tanoodle,81,1/18/2013
35,Ms,876.17,toys,Flashpoint,736,11/21/2010
36,Dr,590.64,home decor,Zazio,939,12/15/2016
37,Mrs,415.1,clothing,Janyx,269,3/4/2010
38,Dr,267.16,home decor,Centidel,698,12/28/2020
39,Mr,21.71,electronics,Brainbox,922,8/16/2020
40,Honorable,202.03,home decor,Wordware,800,1/28/2016
41,Dr,668.23,home decor,Brightbean,121,7/16/2011
42,Ms,571.19,beauty,Ainyx,453,4/3/2022
43,Mr,509.22,electronics,Vimbo,970,1/17/2018
44,Ms,175.4,beauty,Yadel,996,8/19/2013
45,Ms,250.56,clothing,Leenti,378,6/14/2017
46,Ms,340.13,electronics,Mymm,910,2/12/2012
47,Ms,100.14,home decor,Kare,684,12/27/2018
48,Mr,961.36,home decor,Tavu,949,7/30/2014
49,Honorable,362.97,beauty,Gabtype,981,2/6/2019
50,Mr,527.94,toys,Aimbo,477,11/24/2014
51,Honorable,973.91,beauty,Mycat,932,5/2/2018
52,Dr,569.12,electronics,Thoughtmix,103,9/24/2022
53,Rev,371.73,home decor,Oyondu,323,3/11/2010
54,Rev,337.87,electronics,Dabfeed,496,12/2/2022
55,Dr,378.28,electronics,Lazzy,316,10/5/2019
56,Mr,65.28,toys,Lazzy,712,6/9/2010
57,Rev,849.45,beauty,Fivespan,681,2/7/2013
58,Ms,891.71,toys,Wordware,929,12/18/2012
59,Honorable,803.22,beauty,Kwideo,967,11/6/2010
60,Honorable,551.25,home decor,Yozio,561,10/15/2012
61,Dr,555.91,clothing,Kamba,109,3/8/2011
62,Mr,855.21,home decor,Dabshots,82,8/21/2018
63,Honorable,183.83,toys,Leexo,906,6/23/2012
64,Rev,731.3,electronics,Geba,950,7/24/2011
65,Honorable,732.67,toys,Browsetype,888,11/20/2014
66,Mrs,252.62,beauty,Dablist,394,4/16/2020
67,Honorable,299.1,electronics,Jaxspan,401,12/5/2022
68,Rev,737.46,home decor,Flashdog,319,5/28/2013
69,Mrs,576.97,toys,Linklinks,468,3/29/2022
70,Rev,115.51,beauty,Wikizz,935,7/23/2015
71,Mrs,39.24,toys,Linkbuzz,653,5/20/2020
72,Mr,903.62,toys,Flipstorm,327,6/17/2017
73,Mrs,591.71,clothing,Livefish,378,3/5/2017
74,Ms,817.04,electronics,Edgetag,632,3/30/2013
75,Mr,273.31,electronics,Gigabox,168,9/27/2017
76,Rev,398.92,toys,Plajo,481,5/5/2017
77,Mrs,80.22,clothing,Yoveo,653,7/18/2010
78,Rev,326.04,clothing,Yodel,309,11/27/2019
79,Dr,884.97,home decor,Janyx,909,11/18/2020
80,Mrs,995.35,clothing,Realbuzz,998,8/17/2010
81,Rev,198.46,home decor,Kwilith,481,11/9/2021
82,Honorable,58.91,home decor,Yodoo,139,8/26/2019
83,Honorable,982.51,electronics,Tekfly,146,7/18/2012
84,Ms,745.35,clothing,Bubbletube,255,5/3/2013
85,Rev,188.11,clothing,Eazzy,329,1/12/2015
86,Mrs,376.99,toys,Gabcube,524,11/19/2012
87,Rev,317.86,clothing,Brainbox,764,10/19/2012
88,Rev,774.18,beauty,Rooxo,905,7/15/2022
89,Ms,388.91,toys,Kare,927,7/21/2010
90,Dr,677.33,toys,Twitterlist,953,6/14/2019
91,Dr,597.59,toys,Rhynyx,721,4/18/2019
92,Rev,10.02,beauty,Zoonder,232,6/8/2018
93,Ms,381.84,toys,Oodoo,280,9/17/2015
94,Mr,475.9,clothing,Eimbee,703,1/9/2016
95,Mrs,784.39,clothing,Ntags,410,6/20/2015
96,Dr,865.78,clothing,Eadel,55,7/20/2019
97,Ms,542.61,home decor,Gabvine,500,2/19/2019
98,Ms,453.31,electronics,Skipfire,308,10/25/2018
99,Dr,973.43,toys,Blogpad,766,4/22/2020
100,Dr,557.64,toys,Oyondu,504,9/22/2019
101,Rev,728.43,beauty,Dabshots,530,6/5/2017
102,Rev,26.97,beauty,Zoomdog,924,1/19/2011
103,Mrs,79.56,electronics,Devify,901,3/8/2019
104,Rev,359.28,clothing,Wikizz,156,2/19/2017
105,Mr,995.17,beauty,Gevee,860,3/22/2020
