product_id,product_name,price,category,brand,stock_quantity,release_date
1,Honorable,0.05,electronics,Podcat,851,4/15/2013
2,Mr,621.95,electronics,Roomm,894,3/26/2014
3,Mrs,288.18,toys,Eire,993,3/18/2022
4,Rev,954.89,toys,Edgetag,23,2/3/2010
5,Mrs,559.57,home decor,Edgepulse,495,4/14/2010
6,Rev,4.59,beauty,Quatz,46,1/27/2022
7,Dr,324.58,home decor,Mita,360,11/18/2013
8,Rev,977.35,home decor,Kaymbo,867,7/20/2016
9,Mr,909.46,beauty,Feedspan,604,4/18/2010
10,Honorable,471.74,toys,Talane,407,7/16/2011
11,Ms,426.7,clothing,Meetz,474,6/27/2018
12,Honorable,217.16,clothing,Ozu,673,6/4/2012
13,Dr,114.61,toys,Twitterbridge,770,5/31/2013
14,Honorable,689.09,electronics,Zoombeat,991,10/27/2013
15,Mrs,751.56,clothing,Meedoo,570,12/10/2014
16,Rev,990.0,clothing,Eidel,913,5/6/2022
17,Mrs,685.91,toys,Yodel,940,8/28/2010
18,Mrs,219.85,home decor,Jabbersphere,42,11/6/2017
19,Dr,364.67,home decor,Rhyloo,414,8/4/2021
20,Mrs,373.81,electronics,Vimbo,986,7/16/2015
21,Mrs,897.48,toys,Edgepulse,844,11/18/2019
22,Dr,435.01,electronics,Jaxspan,898,1/24/2017
23,Ms,656.39,toys,Skimia,725,11/18/2014
24,Mr,522.94,clothing,Rhybox,663,10/28/2022
25,Dr,324.11,beauty,Eayo,222,3/7/2012
26,Mr,678.59,beauty,Zoomdog,432,8/2/2022
27,Mr,538.94,home decor,Dabjam,793,9/11/2015
28,Dr,574.04,home decor,Brightdog,170,7/2/2022
29,Honorable,556.68,toys,Digitube,478,3/27/2015
30,Honorable,228.18,electronics,Abatz,736,9/14/2018
31,Rev,682.41,electronics,Pixope,43,8/30/2021
32,Ms,801.21,home decor,Abatz,649,9/20/2013
33,Ms,449.67,clothing,Myworks,552,11/5/2018
34,Honorable,15.83,electronics,Babbleblab,154,3/23/2014
35,Honorable,238.45,electronics,Livepath,742,1/28/2012
36,Honorable,529.28,beauty,Innojam,245,12/20/2011
37,Honorable,167.17,toys,Yadel,5,1/17/2017
38,Ms,873.92,toys,Realbridge,495,10/12/2014
39,Mr,630.43,clothing,Avaveo,476,12/25/2010
40,Ms,636.86,home decor,Skidoo,315,11/15/2010
41,Mr,790.84,clothing,Flashset,536,8/22/2022
42,Honorable,284.84,electronics,Fadeo,927,7/2/2014
43,Mr,259.98,beauty,Blognation,881,8/31/2022
44,Ms,917.33,home decor,Vidoo,435,7/28/2017
45,Rev,459.82,electronics,Skyba,569,6/24/2017
46,Mrs,48.74,clothing,Brainsphere,414,4/27/2011
47,Mr,346.72,toys,Skyba,497,11/8/2012
48,Ms,774.58,clothing,Devpoint,412,1/17/2019
49,Mr,936.11,electronics,Skivee,934,4/15/2016
50,Ms,219.91,home decor,Skaboo,71,7/11/2018
51,Dr,960.0,toys,Wordware,42,2/26/2014
52,Mrs,730.28,toys,Zoomzone,103,2/4/2013
53,Honorable,345.06,home decor,Linklinks,1000,6/22/2020
54,Mrs,20.75,electronics,Camido,917,10/11/2011
55,Mrs,159.69,toys,Jatri,143,7/15/2019
56,Mr,64.99,toys,Yodel,491,4/23/2016
57,Dr,918.53,toys,Ntags,256,7/19/2012
58,Ms,693.35,clothing,Devify,94,10/25/2018
59,Mr,355.25,home decor,Avaveo,100,10/13/2017
60,Mrs,653.56,electronics,Pixonyx,825,1/22/2012
61,Mrs,138.39,beauty,Meevee,905,12/5/2017
62,Rev,936.3,home decor,Browsecat,254,10/14/2022
63,Ms,369.56,clothing,Yoveo,837,6/26/2020
64,Ms,263.72,home decor,Dabtype,821,10/11/2019
65,Ms,337.58,toys,Babbleset,407,11/11/2013
66,Rev,521.52,clothing,Thoughtstorm,569,11/4/2015
67,Dr,426.22,toys,Realblab,991,4/17/2019
68,Mr,707.68,clothing,Rhybox,23,10/10/2015
69,Ms,934.04,toys,Devpoint,217,7/12/2019
70,Mr,974.38,beauty,Centidel,886,4/18/2011
71,Honorable,746.1,beauty,Realcube,965,11/19/2011
72,Rev,184.21,beauty,Devbug,937,9/4/2011
73,Ms,428.93,beauty,Vidoo,684,3/12/2021
74,Mr,164.84,beauty,Fadeo,601,12/24/2019
75,Dr,464.01,clothing,Centidel,940,6/26/2010
76,Honorable,448.96,electronics,Skyvu,614,11/8/2020
77,Ms,663.19,home decor,Innojam,523,1/9/2011
78,Mrs,170.44,clothing,Latz,13,6/24/2016
79,Rev,51.11,toys,Edgeblab,366,9/4/2010
80,Mrs,60.64,clothing,Vipe,899,11/21/2010
81,Ms,810.3,beauty,Gabspot,264,12/6/2022
82,Honorable,928.49,beauty,Feedmix,301,4/14/2021
83,Dr,327.67,toys,Feednation,19,1/12/2014
84,Mr,444.15,electronics,Dynazzy,582,10/19/2010
85,Honorable,451.39,toys,Eamia,185,8/16/2021
86,Mrs,642.56,home decor,Jaxspan,96,7/13/2022
87,Rev,71.78,home decor,Riffwire,745,8/7/2014
88,Mrs,758.63,electronics,Yabox,150,7/6/2012
89,Mrs,361.32,home decor,Eidel,271,3/26/2013
90,Ms,967.31,home decor,Jabbersphere,131,3/13/2010
91,Honorable,14.04,toys,Wikivu,348,7/28/2020
92,Dr,528.49,home decor,Oyoloo,665,10/7/2022
93,Mrs,308.28,beauty,Aibox,317,4/3/2010
94,Mrs,890.42,toys,Vidoo,231,4/22/2020
95,Mr,282.58,toys,Gigabox,892,1/4/2014
96,Honorable,184.85,home decor,Jamia,575,11/15/2013
97,Dr,908.53,beauty,Jetwire,347,5/18/2013
98,Dr,138.77,home decor,Edgeblab,784,3/29/2019
99,Mrs,860.05,beauty,Quinu,632,9/7/2014
100,Mr,438.13,home decor,Flashset,189,7/8/2021
101,Dr,42.32,toys,Jetwire,840,4/23/2017
102,Honorable,951.13,clothing,Divavu,908,5/18/2013
103,Honorable,886.71,clothing,Photospace,282,4/10/2014
104,Ms,617.87,electronics,Cogilith,558,4/25/2022
105,Honorable,743.0,beauty,Blognation,415,4/26/2013
106,Ms,389.86,electronics,Zoovu,297,12/25/2015
107,Mrs,343.09,home decor,Shufflebeat,58,6/12/2019
108,Mr,459.55,electronics,Meedoo,846,8/26/2017
109,Rev,246.49,home decor,Buzzbean,786,5/30/2017
110,Rev,63.34,electronics,Topiclounge,938,11/21/2020
111,Mrs,458.43,electronics,Wordtune,775,9/14/2018
112,Mrs,141.58,electronics,Camido,897,3/29/2013
113,Dr,705.83,clothing,Eadel,668,2/3/2013
114,Mr,90.93,electronics,Voonte,26,9/4/2021
115,Mr,790.42,home decor,Tekfly,317,12/17/2011
116,Ms,806.38,clothing,Dynava,167,8/31/2022
117,Honorable,429.66,beauty,Miboo,309,4/3/2018
118,Honorable,393.09,beauty,Yata,36,8/21/2021
