"ads_id","prod_id","advertiser_id","ads_start_date","ads_end_date"
"ADS1","prod17","ADV2",2023-02-02,2024-03-19
"ADS2","prod09","ADV1",2023-04-16,2024-08-11
"ADS3","prod19","ADV2",2023-02-01,2024-07-17
"ADS4","prod18","ADV3",2023-09-06,2024-09-26
"ADS5","prod09","ADV4",2023-12-09,2024-12-27
"ADS6","prod14","ADV5",2023-03-26,2024-10-30
"ADS7","prod15","ADV3",2023-10-27,2024-03-29
"ADS8","prod06","ADV3",2023-07-09,2024-09-15
"ADS9","prod08","ADV2",2023-04-06,2024-10-05
"ADS10","prod20","ADV3",2023-02-09,2024-03-15
