"ads_id","prod_id","advertiser_id","ads_start_date","ads_end_date"
"ADS1","prod13","ADV5",2023-06-04,2024-01-20
"ADS2","prod05","ADV5",2023-07-15,2024-10-12
"ADS3","prod03","ADV4",2023-10-11,2024-11-26
"ADS4","prod06","ADV1",2023-09-23,2024-03-28
"ADS5","prod14","ADV1",2023-01-31,2024-10-20
"ADS6","prod09","ADV5",2023-11-17,2024-04-16
"ADS7","prod15","ADV1",2023-11-26,2024-04-03
"ADS8","prod19","ADV2",2023-04-30,2024-08-14
"ADS9","prod11","ADV4",2023-09-13,2024-09-27
"ADS10","prod08","ADV2",2023-10-08,2024-08-27
