"","category_id","prod_id","category_name"
"1","cate12","prod35","Beauty"
"2","cate8","prod29","Bedding"
"3","cate3","prod22","Clothing"
"4","cate2","prod30","Electronics"
"5","cate2","prod23","Electronics"
"6","cate2","prod36","Electronics"
"7","cate2","prod28","Electronics"
"8","cate2","prod33","Electronics"
"9","cate7","prod21","Food & Beverage"
"10","cate1","prod25","Furniture"
"11","cate9","prod37","Gardening"
"12","cate6","prod38","Home & Decor"
"13","cate6","prod31","Home & Decor"
"14","cate4","prod26","Kitchen & Dining"
"15","cate10","prod27","Luggage & Travel"
"16","cate11","prod24","Men's Grooming"
"17","cate5","prod39","Office Supplies"
"18","cate13","prod32","Stationery & Craft"
"19","cate13","prod34","Stationery & Craft"
