"query_id","cust_id","query_title","query_submission_date","query_closure_date","query_status"
"Q1","cust22","Damaged Product",2023-01-05,2023-02-01,"Submitted"
"Q2","cust08","Delivery Issue",2023-01-26,2023-03-06,"Submitted"
"Q3","cust01","Damaged Product",2023-01-13,2023-02-11,"On Progress"
"Q4","cust06","Payment Issue",2023-01-19,2023-02-25,"Submitted"
"Q5","cust49","Purchase Return",2023-01-31,2023-03-21,"Submitted"
"Q6","cust22","Purchase Return",2023-01-26,2023-02-14,"Submitted"
"Q7","cust06","Wrong Delivery",2023-01-20,2023-03-22,"Submitted"
"Q8","cust05","Delivery Issue",2023-01-29,2023-03-03,"On Progress"
"Q9","cust26","Purchase Return",2023-01-24,2023-02-14,"On Progress"
"Q10","cust09","Delivery Issue",2023-01-22,2023-02-20,"Submitted"
"Q11","cust31","Damaged Product",2023-01-09,2023-03-12,"Closed"
"Q12","cust42","Purchase Return",2023-01-16,2023-02-24,"On Progress"
"Q13","cust03","Delivery Issue",2023-01-21,2023-03-09,"On Progress"
"Q14","cust41","Purchase Return",2023-01-01,2023-03-13,"On Progress"
"Q15","cust32","Delivery Issue",2023-01-31,2023-03-01,"Closed"
"Q16","cust23","Purchase Return",2023-01-17,2023-02-10,"Closed"
"Q17","cust18","Damaged Product",2023-01-18,2023-03-21,"Closed"
"Q18","cust22","Delivery Issue",2023-01-10,2023-03-24,"Closed"
"Q19","cust23","Delivery Issue",2023-01-09,2023-02-07,"On Progress"
"Q20","cust25","Payment Issue",2023-01-11,2023-02-22,"On Progress"
