"query_id","cust_id","query_title","query_submission_date","query_closure_date","query_status"
"Q1","cust094","Purchase Return",2023-01-08,2023-02-03,"Closed"
"Q2","cust006","Damaged Product",2023-01-14,2023-03-14,"Closed"
"Q3","cust072","Delivery Issue",2023-01-19,2023-02-28,"Closed"
"Q4","cust086","Purchase Return",2023-01-30,2023-02-19,"Closed"
"Q5","cust086","Wrong Delivery",2023-01-15,2023-03-29,"Closed"
"Q6","cust039","Purchase Return",2023-01-24,2023-03-20,"Closed"
"Q7","cust031","Payment Issue",2023-01-17,2023-03-13,"Closed"
"Q8","cust081","Wrong Delivery",2023-01-23,2023-02-25,"Closed"
"Q9","cust050","Wrong Delivery",2023-01-11,2023-02-21,"Closed"
"Q10","cust034","Purchase Return",2023-01-07,2023-03-04,"Closed"
"Q11","cust004","Payment Issue",2023-01-29,2023-02-20,"Closed"
"Q12","cust013","Payment Issue",2023-01-15,2023-03-07,"Closed"
"Q13","cust069","Payment Issue",2023-01-23,2023-03-25,"Closed"
"Q14","cust025","Damaged Product",2023-01-26,2023-02-06,"Closed"
"Q15","cust052","Payment Issue",2023-01-06,2023-02-16,"Closed"
"Q16","cust022","Payment Issue",2023-01-14,2023-02-17,"Closed"
"Q17","cust089","Damaged Product",2023-01-31,2023-03-09,"Closed"
"Q18","cust032","Damaged Product",2023-01-07,2023-03-22,"Closed"
"Q19","cust025","Delivery Issue",2023-01-27,2023-03-31,"Closed"
"Q20","cust087","Purchase Return",2023-01-10,2023-03-17,"Closed"
