"","membership_type_id","cust_id","membership_type"
"1",3,"cust001","Premium"
"2",3,"cust002","Premium"
"3",3,"cust003","Premium"
"4",3,"cust017","Premium"
"5",3,"cust005","Premium"
"6",3,"cust032","Premium"
"7",3,"cust033","Premium"
"8",3,"cust047","Premium"
"9",3,"cust009","Premium"
"10",3,"cust023","Premium"
"11",3,"cust089","Premium"
"12",3,"cust025","Premium"
"13",3,"cust043","Premium"
"14",3,"cust053","Premium"
"15",3,"cust015","Premium"
"16",3,"cust029","Premium"
"17",3,"cust073","Premium"
"18",3,"cust018","Premium"
"19",3,"cust045","Premium"
"20",3,"cust072","Premium"
"21",3,"cust038","Premium"
"22",3,"cust035","Premium"
"23",3,"cust062","Premium"
"24",3,"cust058","Premium"
"25",3,"cust042","Premium"
"26",3,"cust069","Premium"
"27",3,"cust066","Premium"
"28",3,"cust092","Premium"
"29",3,"cust099","Premium"
"30",3,"cust083","Premium"
"31",3,"cust096","Premium"
"32",3,"cust064","Premium"
"33",3,"cust100","Premium"
"34",3,"cust082","Premium"
"35",3,"cust090","Premium"
"36",1,"cust010","Student"
"37",1,"cust020","Student"
"38",1,"cust027","Student"
"39",1,"cust054","Student"
"40",1,"cust046","Student"
"41",1,"cust013","Student"
"42",1,"cust031","Student"
"43",1,"cust049","Student"
"44",1,"cust037","Student"
"45",1,"cust021","Student"
"46",1,"cust022","Student"
"47",1,"cust040","Student"
"48",1,"cust080","Student"
"49",1,"cust051","Student"
"50",1,"cust039","Student"
"51",1,"cust044","Student"
"52",1,"cust019","Student"
"53",1,"cust059","Student"
"54",1,"cust034","Student"
"55",1,"cust061","Student"
"56",1,"cust088","Student"
"57",1,"cust063","Student"
"58",1,"cust077","Student"
"59",1,"cust052","Student"
"60",1,"cust079","Student"
"61",1,"cust093","Student"
"62",1,"cust016","Student"
"63",1,"cust056","Student"
"64",1,"cust057","Student"
"65",1,"cust084","Student"
"66",1,"cust098","Student"
"67",1,"cust086","Student"
"68",1,"cust074","Student"
"69",2,"cust026","Trial"
"70",2,"cust007","Trial"
"71",2,"cust011","Trial"
"72",2,"cust024","Trial"
"73",2,"cust065","Trial"
"74",2,"cust028","Trial"
"75",2,"cust041","Trial"
"76",2,"cust055","Trial"
"77",2,"cust036","Trial"
"78",2,"cust006","Trial"
"79",2,"cust085","Trial"
"80",2,"cust078","Trial"
"81",2,"cust048","Trial"
"82",2,"cust075","Trial"
"83",2,"cust050","Trial"
"84",2,"cust008","Trial"
"85",2,"cust091","Trial"
"86",2,"cust014","Trial"
"87",2,"cust067","Trial"
"88",2,"cust068","Trial"
"89",2,"cust004","Trial"
"90",2,"cust070","Trial"
"91",2,"cust071","Trial"
"92",2,"cust076","Trial"
"93",2,"cust060","Trial"
"94",2,"cust087","Trial"
"95",2,"cust095","Trial"
"96",2,"cust097","Trial"
"97",2,"cust012","Trial"
"98",2,"cust030","Trial"
"99",2,"cust081","Trial"
"100",2,"cust094","Trial"
