"","order_id","cust_id","prod_id","order_quantity","order_date","order_value","order_price"
"1","o017","cust29","prod06",9,2010-12-02,831.96,92.44
"2","o004","cust03","prod19",3,2015-12-04,3.438,1.146
"3","o045","cust25","prod06",7,2012-05-08,647.08,92.44
"4","o025","cust36","prod06",4,2018-11-11,369.76,92.44
"5","o030","cust12","prod06",7,2009-03-21,647.08,92.44
"6","o044","cust38","prod09",9,2009-03-21,564.21,62.69
"7","o046","cust34","prod17",9,2018-10-27,70.992,7.888
"8","o005","cust42","prod10",6,2015-12-04,79.98,13.33
"9","o006","cust50","prod13",6,2007-04-21,51.39,8.565
"10","o059","cust41","prod03",4,2007-04-21,396.72,99.18
"11","o066","cust43","prod06",9,2005-08-13,831.96,92.44
"12","o041","cust07","prod02",7,2018-03-26,479.15,68.45
"13","o029","cust39","prod04",9,2012-05-08,257.04,28.56
"14","o068","cust22","prod02",8,2012-05-08,547.6,68.45
"15","o094","cust30","prod09",7,2011-01-19,438.83,62.69
"16","o040","cust27","prod08",2,2018-03-26,59.74,29.87
"17","o023","cust09","prod05",8,2010-12-02,416.48,52.06
"18","o030","cust12","prod03",1,2009-03-21,99.18,99.18
"19","o062","cust31","prod05",10,2005-08-13,520.6,52.06
"20","o082","cust25","prod09",5,2007-04-21,313.45,62.69
"21","o083","cust32","prod09",6,2018-03-26,376.14,62.69
"22","o010","cust25","prod06",10,2018-10-27,924.4,92.44
"23","o067","cust08","prod06",9,2018-03-26,831.96,92.44
"24","o037","cust41","prod05",8,2009-03-21,416.48,52.06
"25","o049","cust08","prod07",1,2011-01-19,9.308,9.308
"26","o058","cust15","prod16",8,2013-05-28,151.328,18.916
"27","o082","cust25","prod02",1,2007-04-21,68.45,68.45
"28","o023","cust09","prod06",8,2010-12-02,739.52,92.44
"29","o042","cust27","prod06",10,2010-04-10,924.4,92.44
"30","o054","cust27","prod02",9,2005-08-13,616.05,68.45
"31","o038","cust10","prod08",1,2018-11-11,29.87,29.87
"32","o010","cust25","prod18",3,2018-10-27,275.88,91.96
"33","o019","cust08","prod10",7,2010-04-10,93.31,13.33
"34","o058","cust15","prod17",7,2013-05-28,55.216,7.888
"35","o052","cust18","prod17",2,2005-08-13,15.776,7.888
"36","o009","cust14","prod09",2,2011-01-19,125.38,62.69
"37","o026","cust14","prod08",10,2009-03-21,298.7,29.87
"38","o005","cust42","prod12",3,2015-12-04,92.37,30.79
"39","o087","cust35","prod10",10,2009-03-21,133.3,13.33
"40","o020","cust26","prod17",10,2007-04-21,78.88,7.888
"41","o061","cust26","prod05",5,2018-11-11,260.3,52.06
"42","o025","cust36","prod06",7,2018-11-11,647.08,92.44
"43","o076","cust34","prod10",9,2007-04-21,119.97,13.33
"44","o023","cust09","prod09",4,2010-12-02,250.76,62.69
"45","o097","cust29","prod16",1,2009-03-21,18.916,18.916
"46","o011","cust26","prod15",5,2018-03-26,114.2,22.84
"47","o040","cust27","prod18",2,2018-03-26,183.92,91.96
"48","o077","cust04","prod11",3,2015-12-04,58.446,19.482
"49","o032","cust32","prod01",5,2018-10-27,243,48.6
"50","o099","cust07","prod12",3,2018-10-27,92.37,30.79
"51","o008","cust37","prod11",1,2018-10-27,19.482,19.482
"52","o025","cust36","prod16",3,2018-11-11,56.748,18.916
"53","o055","cust25","prod20",2,2010-12-02,71.66,35.83
"54","o069","cust22","prod20",2,2010-12-02,71.66,35.83
"55","o063","cust16","prod12",5,2007-04-21,153.95,30.79
"56","o068","cust22","prod10",1,2012-05-08,13.33,13.33
"57","o077","cust04","prod02",10,2015-12-04,684.5,68.45
"58","o057","cust21","prod20",6,2005-08-13,214.98,35.83
"59","o032","cust32","prod08",2,2018-10-27,59.74,29.87
"60","o082","cust25","prod02",9,2007-04-21,616.05,68.45
"61","o049","cust08","prod04",7,2011-01-19,199.92,28.56
"62","o016","cust09","prod19",8,2005-08-13,9.168,1.146
"63","o007","cust43","prod14",8,2010-04-10,26.16,3.27
"64","o076","cust34","prod18",7,2007-04-21,643.72,91.96
"65","o027","cust17","prod13",3,2009-03-21,25.695,8.565
"66","o048","cust05","prod02",5,2009-03-21,342.25,68.45
"67","o090","cust30","prod06",10,2007-04-21,924.4,92.44
"68","o074","cust50","prod03",6,2013-05-28,595.08,99.18
"69","o014","cust27","prod04",10,2012-05-08,285.6,28.56
"70","o091","cust12","prod20",9,2018-10-27,322.47,35.83
"71","o040","cust27","prod18",9,2018-03-26,827.64,91.96
"72","o003","cust14","prod20",6,2018-10-27,214.98,35.83
"73","o009","cust14","prod18",10,2011-01-19,919.6,91.96
"74","o015","cust28","prod14",1,2018-03-26,3.27,3.27
"75","o067","cust08","prod17",2,2018-03-26,15.776,7.888
"76","o005","cust42","prod11",3,2015-12-04,58.446,19.482
"77","o024","cust19","prod20",3,2009-03-21,107.49,35.83
"78","o080","cust25","prod09",5,2012-05-08,313.45,62.69
"79","o041","cust07","prod14",2,2018-03-26,6.54,3.27
"80","o013","cust05","prod17",5,2018-10-27,39.44,7.888
"81","o041","cust07","prod19",9,2018-03-26,10.314,1.146
"82","o042","cust27","prod10",9,2010-04-10,119.97,13.33
"83","o075","cust49","prod16",8,2009-03-21,151.328,18.916
"84","o021","cust07","prod19",8,2010-04-10,9.168,1.146
"85","o004","cust03","prod18",10,2015-12-04,919.6,91.96
"86","o027","cust17","prod17",6,2009-03-21,47.328,7.888
"87","o008","cust37","prod20",6,2018-10-27,214.98,35.83
"88","o018","cust35","prod01",9,2012-05-08,437.4,48.6
"89","o083","cust32","prod04",5,2018-03-26,142.8,28.56
"90","o035","cust07","prod10",6,2007-04-21,79.98,13.33
"91","o003","cust14","prod01",8,2018-10-27,388.8,48.6
"92","o036","cust09","prod01",9,2015-12-04,437.4,48.6
"93","o023","cust09","prod13",4,2010-12-02,34.26,8.565
"94","o031","cust15","prod13",1,2018-11-11,8.565,8.565
"95","o029","cust39","prod17",4,2012-05-08,31.552,7.888
"96","o092","cust31","prod01",4,2013-05-28,194.4,48.6
"97","o047","cust29","prod01",10,2013-05-28,486,48.6
"98","o018","cust35","prod01",1,2012-05-08,48.6,48.6
"99","o016","cust09","prod14",10,2005-08-13,32.7,3.27
"100","o089","cust48","prod05",8,2007-04-21,416.48,52.06
"101","o033","cust42","prod02",6,2015-12-04,410.7,68.45
"102","o059","cust41","prod02",3,2007-04-21,205.35,68.45
"103","o061","cust26","prod02",4,2018-11-11,273.8,68.45
"104","o056","cust38","prod02",7,2007-04-21,479.15,68.45
"105","o095","cust35","prod02",10,2015-12-04,684.5,68.45
"106","o095","cust35","prod02",10,2015-12-04,684.5,68.45
"107","o015","cust28","prod11",8,2018-03-26,155.856,19.482
"108","o071","cust31","prod05",10,2018-11-11,520.6,52.06
"109","o090","cust30","prod06",8,2007-04-21,739.52,92.44
"110","o086","cust23","prod09",1,2015-12-04,62.69,62.69
"111","o069","cust22","prod06",10,2010-12-02,924.4,92.44
"112","o074","cust50","prod09",10,2013-05-28,626.9,62.69
"113","o079","cust05","prod03",8,2018-11-11,793.44,99.18
"114","o012","cust27","prod09",8,2011-01-19,501.52,62.69
"115","o079","cust05","prod15",6,2018-11-11,137.04,22.84
"116","o073","cust17","prod03",2,2018-11-11,198.36,99.18
"117","o072","cust48","prod03",10,2005-08-13,991.8,99.18
"118","o022","cust42","prod12",3,2007-04-21,92.37,30.79
