"","supplier_id","supplier_name","supplier_contact","supplier_postcode"
"1","s1","Cozy Haven Home","0790879398","WC2A1DW"
"2","s2","Tech Blitz","0797694844","WC2N4DW"
"3","s3","The Happy Hobbyist","0799601449","WC1V7DF"
"4","s4","Green Earth Goods","0798379661","WC1X9HU"
"5","s5","The Wandering Nomad","0796242264","WC2B6UJ"
"6","s6","The Organized Nest","0791276109","WC2N4LA"
"7","s7","The Pampered Pup","0793682058","WC1A1QG"
"8","s8","The Global Grocer","0793369551","WC2H8JF"
"9","s9","Happy Camper Haven","0798266095","WC1X8UW"
"10","s10","The Party People","0798525764","WC1A2TH"
"11","s11","The Beauty Vault","0794646094","WC1B3DX"
