"","supply_id","supplier_id","prod_id","inventory_quantity","sold_quantity"
"1",1,"s1","prod11",15,14
"2",2,"s1","prod07",12,11
"3",3,"s4","prod08",14,13
"4",4,"s4","prod19",20,19
"5",5,"s9","prod12",13,12
"6",6,"s9","prod14",8,8
"7",7,"s2","prod04",15,14
"8",8,"s2","prod09",15,14
"9",9,"s11","prod16",19,18
"10",10,"s11","prod13",11,10
"11",11,"s8","prod06",29,27
"12",12,"s8","prod10",24,22
"13",13,"s3","prod20",19,18
"14",14,"s3","prod18",16,15
"15",15,"s6","prod03",12,11
"16",16,"s7","prod02",23,21
"17",17,"s7","prod15",11,10
"18",18,"s10","prod01",14,13
"19",19,"s5","prod05",16,15
"20",20,"s5","prod17",23,21
"21",21,"s3","prod01",14,13
"22",22,"s3","prod02",23,21
"23",23,"s10","prod03",12,11
"24",24,"s2","prod04",15,14
"25",25,"s6","prod05",16,15
"26",26,"s11","prod06",29,27
"27",27,"s5","prod07",12,11
"28",28,"s4","prod08",14,13
"29",29,"s6","prod09",15,14
"30",30,"s9","prod10",24,22
"31",31,"s10","prod11",15,14
"32",32,"s11","prod12",13,12
"33",33,"s5","prod13",11,10
"34",34,"s3","prod14",8,8
"35",35,"s11","prod15",11,10
"36",36,"s9","prod16",19,18
"37",37,"s9","prod17",23,21
"38",38,"s9","prod18",16,15
"39",39,"s3","prod19",20,19
"40",40,"s8","prod20",19,18
