"","supply_id","supplier_id","prod_id","inventory_quantity","sold_quantity"
"1","sp1","s1","prod04",17,16
"2","sp2","s4","prod05",9,9
"3","sp3","s4","prod02",17,16
"4","sp4","s9","prod07",25,23
"5","sp5","s9","prod06",16,15
"6","sp6","s2","prod18",20,19
"7","sp7","s2","prod10",15,14
"8","sp8","s11","prod17",25,23
"9","sp9","s11","prod12",22,20
"10","sp10","s8","prod16",9,9
"11","sp11","s8","prod13",14,13
"12","sp12","s3","prod01",18,17
"13","sp13","s3","prod09",14,13
"14","sp14","s6","prod08",11,10
"15","sp15","s6","prod14",12,11
"16","sp16","s7","prod20",16,15
"17","sp17","s7","prod11",9,9
"18","sp18","s10","prod19",12,11
"19","sp19","s10","prod15",20,19
"20","sp20","s5","prod03",14,13
"21","sp21","s3","prod01",35,17
"22","sp22","s6","prod02",33,16
"23","sp23","s5","prod03",27,13
"24","sp24","s11","prod04",33,16
"25","sp25","s9","prod05",18,9
"26","sp26","s10","prod06",31,15
"27","sp27","s9","prod07",48,23
"28","sp28","s10","prod08",21,10
"29","sp29","s3","prod09",27,13
"30","sp30","s11","prod10",29,14
"31","sp31","s7","prod11",18,9
"32","sp32","s8","prod12",42,20
"33","sp33","s5","prod13",27,13
"34","sp34","s4","prod14",23,11
"35","sp35","s9","prod15",39,19
"36","sp36","s1","prod16",18,9
"37","sp37","s6","prod17",48,23
"38","sp38","s8","prod18",39,19
"39","sp39","s5","prod19",23,11
"40","sp40","s9","prod20",31,15
